iter	Passed	Remaining
0	2	2996
1	5	2797
2	8	2770
3	10	2682
4	13	2631
5	15	2605
6	18	2566
7	20	2561
8	23	2555
9	25	2552
10	28	2551
11	31	2572
12	34	2611
13	37	2632
14	40	2631
15	42	2621
16	45	2635
17	48	2627
18	50	2624
19	53	2617
20	55	2601
21	58	2581
22	60	2578
23	63	2573
24	66	2574
25	68	2565
26	71	2561
27	73	2554
28	76	2553
29	78	2550
30	81	2546
31	83	2539
32	86	2534
33	89	2536
34	91	2535
35	94	2533
36	97	2529
37	99	2528
38	102	2529
39	105	2529
40	108	2538
41	111	2539
42	113	2534
43	116	2532
44	119	2529
45	121	2524
46	124	2516
47	126	2509
48	129	2505
49	131	2495
50	133	2489
51	136	2489
52	139	2487
53	141	2482
54	144	2478
55	147	2480
56	150	2484
57	152	2483
58	155	2482
59	158	2483
60	161	2479
61	163	2479
62	166	2478
63	169	2475
64	171	2473
65	174	2472
66	177	2477
67	180	2475
68	183	2473
69	186	2474
70	189	2473
71	191	2472
72	194	2470
73	197	2470
74	200	2472
75	203	2471
76	205	2467
77	208	2465
78	211	2463
79	214	2462
80	216	2459
81	219	2454
82	221	2450
83	224	2446
84	226	2441
85	229	2436
86	231	2433
87	234	2430
88	236	2424
89	239	2419
90	241	2415
91	244	2410
92	246	2407
93	249	2405
94	252	2402
95	254	2397
96	257	2394
97	260	2393
98	262	2390
99	265	2388
100	267	2385
101	270	2382
102	273	2378
103	275	2375
104	278	2373
105	281	2371
106	283	2365
107	285	2359
108	288	2354
109	290	2352
110	293	2351
111	296	2353
112	299	2353
113	302	2354
114	306	2355
115	309	2355
116	311	2352
117	314	2351
118	317	2348
119	319	2345
120	322	2344
121	324	2338
122	327	2333
123	329	2331
124	333	2332
125	335	2328
126	338	2325
127	341	2323
128	343	2321
129	346	2320
130	349	2317
131	351	2314
132	354	2310
133	357	2307
134	359	2306
135	363	2306
136	365	2303
137	368	2299
138	370	2295
139	373	2291
140	375	2289
141	378	2286
142	380	2283
143	383	2279
144	386	2276
145	388	2273
146	391	2269
147	393	2266
148	396	2262
149	398	2257
150	400	2254
151	403	2249
152	405	2246
153	408	2243
154	410	2239
155	413	2234
156	415	2231
157	418	2227
158	420	2225
159	423	2223
160	426	2220
161	428	2217
162	431	2214
163	433	2211
164	436	2209
165	439	2207
166	441	2203
167	444	2200
168	446	2197
169	449	2194
170	451	2190
171	454	2187
172	456	2184
173	459	2181
174	461	2177
175	464	2174
176	467	2171
177	469	2168
178	472	2166
179	474	2163
180	477	2159
181	479	2156
182	482	2153
183	484	2150
184	487	2147
185	489	2144
186	492	2140
187	494	2137
188	497	2134
189	499	2131
190	502	2128
191	505	2126
192	508	2124
193	510	2120
194	513	2118
195	515	2114
196	518	2112
197	520	2109
198	523	2107
199	526	2105
200	528	2102
201	531	2098
202	533	2095
203	536	2091
204	538	2088
205	541	2085
206	543	2081
207	545	2078
208	548	2075
209	550	2071
210	553	2068
211	555	2065
212	558	2062
213	560	2059
214	563	2056
215	565	2053
216	568	2051
217	571	2049
218	573	2046
219	576	2043
220	578	2040
221	581	2037
222	584	2034
223	586	2032
224	589	2030
225	592	2028
226	595	2026
227	597	2023
228	600	2020
229	602	2018
230	605	2015
231	608	2013
232	611	2011
233	613	2008
234	616	2006
235	618	2003
236	621	2001
237	624	1999
238	626	1996
239	629	1992
240	631	1989
241	634	1986
242	636	1983
243	639	1980
244	641	1978
245	644	1975
246	647	1972
247	649	1969
248	652	1966
249	654	1963
250	656	1960
251	659	1957
252	662	1955
253	664	1952
254	667	1950
255	670	1948
256	673	1945
257	675	1943
258	678	1941
259	681	1938
260	684	1936
261	686	1933
262	688	1930
263	690	1926
264	693	1923
265	696	1921
266	698	1918
267	701	1916
268	704	1913
269	706	1911
270	709	1907
271	711	1904
272	714	1901
273	716	1898
274	718	1895
275	721	1893
