iter	Logloss
0	0.6899824824
1	0.6861795698
2	0.6825344903
3	0.6800180163
4	0.6767420088
5	0.673320634
6	0.6677524022
7	0.6630744934
8	0.658598423
9	0.6543124063
10	0.6514230456
11	0.6479994229
12	0.6433176313
13	0.6394957815
14	0.635846138
15	0.6311328752
16	0.6286804335
17	0.625633376
18	0.6209645271
19	0.61838477
20	0.6162648882
21	0.613623006
22	0.6097106934
23	0.6068153381
24	0.604810851
25	0.6009857314
26	0.5964431763
27	0.5931267738
28	0.5894176619
29	0.5877624239
30	0.585372448
31	0.5836929594
32	0.5809510776
33	0.5780754089
34	0.576319967
35	0.5734446389
36	0.5717131751
37	0.5700476851
38	0.5662363597
39	0.5629792213
40	0.5625141689
41	0.5608137676
42	0.5597031457
43	0.5575463431
44	0.5517773628
45	0.5490906579
46	0.5463534083
47	0.5433351653
48	0.5418026107
49	0.5411661693
50	0.5389682906
51	0.5371202741
52	0.5338420187
53	0.5325825214
54	0.527608054
55	0.5260911669
56	0.5238900525
57	0.5222153664
58	0.5207102299
59	0.5164436953
60	0.5121652058
61	0.5086339201
62	0.5065414224
63	0.5057610103
64	0.5047926903
65	0.5024835723
66	0.4990102904
67	0.4973302569
68	0.4945717539
69	0.4918133531
70	0.4901179246
71	0.4893242291
72	0.487668378
73	0.4849375997
74	0.483925036
75	0.4806150368
76	0.4783558164
77	0.4756689753
78	0.4728718485
79	0.4710461072
80	0.4669673783
81	0.4656227997
82	0.4625133787
83	0.4610128743
84	0.4593229294
85	0.4575505597
86	0.4567531518
87	0.4537337508
88	0.4513840675
89	0.447180782
90	0.446078028
91	0.444979872
92	0.44368577
93	0.4419755595
94	0.4404450144
95	0.4385257108
96	0.4357571942
97	0.4340389456
98	0.4318431446
99	0.4302921976
100	0.4292157037
101	0.4282152312
102	0.427200113
103	0.423219817
104	0.4214083467
105	0.4200622014
106	0.418444361
107	0.417060818
108	0.4140691076
109	0.412958656
110	0.4107382638
111	0.4077615057
112	0.4052324295
113	0.4035004548
114	0.4021334308
115	0.3989599092
116	0.3987339565
117	0.3965465682
118	0.3948694638
119	0.3929999215
120	0.3918306146
121	0.3917418889
122	0.3898172379
123	0.389465332
124	0.3888177191
125	0.3879025323
126	0.3855189596
127	0.3829790865
128	0.3821809292
129	0.3812339646
130	0.3797687122
131	0.3785467148
132	0.3776676314
133	0.3745269094
134	0.3733770507
135	0.3713723591
136	0.370380027
137	0.3679976463
138	0.3658291272
139	0.3629238946
140	0.3617667471
141	0.3608320781
142	0.3599010195
143	0.3588514669
144	0.3570780073
145	0.3558973244
146	0.3540133749
147	0.3525172642
148	0.351535184
149	0.3471633707
150	0.3457845279
151	0.3446030276
152	0.3419442517
153	0.3393748828
154	0.3380954266
155	0.3362379755
156	0.3350719043
157	0.33333901
158	0.3306884084
159	0.3293531282
160	0.328285626
161	0.3270431927
162	0.3260768482
163	0.3245340075
164	0.322828361
165	0.3209439346
166	0.3205368178
167	0.3189967019
168	0.3176184382
169	0.3153210027
170	0.3145237991
171	0.3118580069
172	0.3099373749
173	0.3086044788
174	0.3081537315
175	0.3063074521
176	0.3048627717
177	0.3035260609
178	0.3028412887
179	0.3022649629
180	0.3003213065
181	0.2989257404
182	0.2963835171
183	0.2955776964
184	0.2936958585
185	0.2911913054
186	0.2904864379
187	0.2895733629
188	0.288616521
189	0.2875076021
190	0.2867744991
191	0.2859165328
192	0.2840304034
193	0.2832086597
194	0.2818029267
195	0.280113663
196	0.2784260852
197	0.277086871
198	0.2755382402
199	0.2738019058
200	0.2730124508
201	0.2707693236
202	0.2695589236
203	0.2676596301
204	0.2673760482
205	0.2660996573
206	0.2643144301
207	0.2634015594
208	0.2613170488
209	0.2603681598
210	0.2595590523
211	0.2574029991
212	0.2566391741
213	0.25511149
214	0.2533887795
215	0.2517941679
216	0.2488715649
217	0.2473659175
218	0.246594446
219	0.2454945871
220	0.2444611447
221	0.2428672143
222	0.2416114467
223	0.240908214
224	0.2399356876
225	0.2394634315
226	0.2381812845
227	0.2371008396
228	0.2363799129
229	0.2357176031
230	0.2350499289
231	0.2340917076
232	0.2335296699
233	0.2317074708
234	0.2311874969
235	0.2303204196
236	0.2278122221
237	0.2270023823
238	0.2257260936
239	0.2249098335
240	0.2230808054
241	0.2211899076
242	0.2190859658
243	0.2178607157
244	0.2163191863
245	0.2147048371
246	0.212851899
247	0.2111246756
248	0.2099772181
249	0.2091160502
250	0.2077477149
251	0.2066600152
252	0.2060345922
253	0.2050694908
254	0.2043904407
255	0.2035994189
256	0.2024895123
257	0.2012540613
258	0.20044337
259	0.1996401548
260	0.198380879
261	0.1966000795
262	0.1958343131
263	0.1952955893
264	0.1938751255
265	0.1930731705
266	0.1918054989
267	0.1898909978
268	0.188532114
269	0.1866933618
270	0.1860685689
271	0.1857337952
272	0.1841529778
273	0.1837047679
274	0.1828271491
275	0.1819144147
276	0.1815339497
277	0.1806618827
278	0.1796412468
279	0.1783898558
280	0.1779152666
281	0.1774308
282	0.1760946853
283	0.1751827002
284	0.1742457662
285	0.1730573859
286	0.1719131129
287	0.1712058612
288	0.1702239513
289	0.1692973886
290	0.1683094331
291	0.1670132705
292	0.166549308
293	0.1651792526
294	0.1646451439
295	0.1638841118
296	0.1629971436
297	0.1621965
298	0.1614060402
299	0.1604452133
300	0.1596285616
301	0.1588538034
302	0.1580205985
303	0.1573733091
304	0.1565270424
305	0.1548544679
306	0.1543536527
307	0.1537377494
308	0.1530023643
309	0.1521372625
310	0.1517888478
311	0.1508991718
312	0.1502882413
313	0.149996485
314	0.1494300365
315	0.1485654797
316	0.1476649216
317	0.1471265895
318	0.1464252131
319	0.1455312116
320	0.1450013774
321	0.1439427308
322	0.1434925795
323	0.1426813092
324	0.1416799511
325	0.1410348415
326	0.1404476847
327	0.139990202
328	0.1391340239
329	0.1381043025
330	0.1374821407
331	0.1369933571
332	0.1365870322
333	0.1361262543
334	0.135170894
335	0.1348794358
336	0.1341966135
337	0.1329495822
338	0.1319750547
339	0.1308516605
340	0.1304196886
341	0.129912453
342	0.1291916881
343	0.1287009886
344	0.1278730205
345	0.1270734157
346	0.1265029311
347	0.1257236174
348	0.1248941762
349	0.124410757
350	0.1238945893
351	0.1233096038
352	0.1227969272
353	0.1222904921
354	0.1215003899
355	0.1212917311
356	0.1207459484
357	0.1202090297
358	0.1198870965
359	0.1194396189
360	0.1185919728
361	0.1177985157
362	0.1172100816
363	0.116396061
364	0.1156281573
365	0.1151142802
366	0.1146011353
367	0.1141365767
368	0.1135190044
369	0.1128761257
370	0.1123310413
371	0.1117306948
372	0.1115167396
373	0.1107298306
374	0.1100922823
375	0.1097495641
376	0.1093748212
377	0.1086227042
378	0.1082180057
379	0.1076687745
380	0.1071628162
381	0.1066234538
382	0.1056506123
383	0.1051483921
384	0.1045398542
385	0.1042862364
386	0.1036583696
387	0.1031923635
388	0.1022591421
389	0.1017104728
390	0.1011501125
391	0.1007058961
392	0.1001587766
393	0.09970036575
394	0.09893746887
395	0.09873599666
396	0.0984478678
397	0.09767634528
398	0.09707210745
399	0.09650988238
400	0.0961533274
401	0.09595421382
402	0.09568340438
403	0.09512444905
404	0.09480384418
405	0.09411299229
406	0.09384453297
407	0.09338467462
408	0.0928655948
409	0.09222243513
410	0.09189360482
411	0.09129176821
412	0.09075830664
413	0.09023611035
414	0.08991587162
415	0.08961924485
416	0.08922299317
417	0.08891755342
418	0.08871224948
419	0.08797302416
420	0.08735294853
421	0.08705483164
422	0.0864425557
423	0.08589851856
424	0.08570514406
425	0.08520010539
426	0.08457324335
427	0.0842307806
428	0.08387488978
429	0.08337678228
430	0.08305908101
431	0.08258378506
432	0.0821072885
433	0.08186754159
434	0.08155390194
435	0.08127023493
436	0.08080979756
437	0.08050548179
438	0.08017003536
439	0.07979052407
440	0.07939703124
441	0.07908199515
442	0.07872137853
443	0.07813959462
444	0.07789794036
445	0.07757080453
446	0.07718074322
447	0.07687963758
448	0.07672345638
449	0.07628447669
450	0.07600469249
451	0.07577783721
452	0.07555661883
453	0.07537777083
454	0.07495667253
455	0.07455225502
456	0.0742895518
457	0.07408589976
458	0.07393539803
459	0.07369766065
460	0.07329959529
461	0.07296256508
462	0.072594847
463	0.07241015775
464	0.07222047874
465	0.0717854585
466	0.07148456573
467	0.07113828829
468	0.07094925642
469	0.0708210894
470	0.07050237911
471	0.07000172138
472	0.06982283081
473	0.06957656145
474	0.06930596488
475	0.06897099955
476	0.06883205261
477	0.06857883079
478	0.06832957268
479	0.0680787393
480	0.06755499755
481	0.06727858526
482	0.06709622485
483	0.06676778623
484	0.06631835018
485	0.06608111944
486	0.06586025442
487	0.06538227626
488	0.06517753005
489	0.06505983216
490	0.06482383183
491	0.0644472284
492	0.06405032533
493	0.06379322921
494	0.0635534014
495	0.06340708903
496	0.0631984898
497	0.06278370959
498	0.06266453011
499	0.06244493808
500	0.06223403556
501	0.06180058633
502	0.0614236721
503	0.06118904693
504	0.06096311978
505	0.06075266429
506	0.06060471705
507	0.06030647244
508	0.06013268232
509	0.05988703455
510	0.0595533933
511	0.05917261328
512	0.05889248848
513	0.05865439773
514	0.05853371961
515	0.05832208906
516	0.05812065942
517	0.0577899175
518	0.05751075915
519	0.05719593167
520	0.05688573633
521	0.05676206946
522	0.05664187244
523	0.05644021715
524	0.05632335373
525	0.05603351763
526	0.05572714124
527	0.05556138924
528	0.05526228462
529	0.05507777844
530	0.05492283617
531	0.05483772073
532	0.05465262277
533	0.05438452108
534	0.05416067583
535	0.0538739264
536	0.05362445116
537	0.0534821323
538	0.0533160397
539	0.05305623157
540	0.05269328185
541	0.05250150817
542	0.05228596926
543	0.05202358535
544	0.05191597768
545	0.05177622182
546	0.05166644284
547	0.05146610737
548	0.05119231769
549	0.05084240862
550	0.05073954378
551	0.05059118782
552	0.05042548691
553	0.05024169173
554	0.04998697553
555	0.0498276438
556	0.04953983
557	0.04945767777
558	0.04934285794
559	0.0492536681
560	0.04902707679
561	0.04883471557
562	0.04867813843
563	0.04854944774
564	0.04844356009
565	0.04819753766
566	0.04808806096
567	0.04777248417
568	0.04754652722
569	0.0473155507
570	0.04726067611
571	0.04715993149
572	0.04692925726
573	0.0468524737
574	0.04677934306
575	0.04655167035
576	0.04642915726
577	0.04614247595
578	0.04596008999
579	0.0457451599
580	0.0456529728
581	0.04555823973
582	0.04538963948
583	0.04526186841
584	0.04505297542
585	0.04498045359
586	0.04489565747
587	0.04471220715
588	0.04455603446
589	0.04443230799
590	0.04432603291
591	0.04422436867
592	0.04413704787
593	0.04397247945
594	0.04382259505
595	0.04370765175
596	0.0434796129
597	0.04323513167
598	0.04316259282
599	0.04301656996
600	0.04292161124
601	0.04280421989
602	0.04262307712
603	0.04245935168
604	0.04237341881
605	0.0421914884
606	0.04213671173
607	0.04198411107
608	0.04189620699
609	0.04174484525
