iter	Passed	Remaining
0	21	21831
1	39	19821
2	56	18912
3	74	18659
4	92	18343
5	112	18596
6	136	19347
7	156	19345
8	176	19424
9	194	19209
10	211	19004
11	228	18810
12	245	18665
13	263	18560
14	281	18512
15	301	18552
16	320	18513
17	337	18413
18	354	18294
19	372	18266
20	390	18210
21	409	18200
22	427	18156
23	446	18145
24	470	18366
25	489	18349
26	506	18247
27	524	18195
28	542	18154
29	559	18089
30	576	18028
31	594	17973
32	612	17951
33	631	17948
34	651	17954
35	669	17917
36	686	17871
37	704	17837
38	725	17879
39	745	17889
40	762	17838
41	779	17769
42	796	17733
43	814	17707
44	838	17798
45	862	17893
46	881	17868
47	899	17848
48	919	17850
49	938	17836
50	958	17832
51	979	17864
52	996	17813
53	1013	17752
54	1031	17727
55	1049	17688
56	1066	17640
57	1084	17609
58	1107	17670
59	1130	17714
60	1149	17695
61	1166	17644
62	1183	17608
63	1203	17601
64	1223	17600
65	1243	17601
66	1263	17598
67	1283	17586
68	1303	17593
69	1322	17575
70	1341	17551
71	1359	17525
72	1378	17505
73	1397	17487
74	1415	17455
75	1433	17432
76	1459	17499
77	1480	17499
78	1496	17450
79	1514	17412
80	1534	17412
81	1552	17375
82	1569	17341
83	1601	17460
84	1619	17436
85	1636	17392
86	1655	17371
87	1672	17335
88	1693	17339
89	1718	17371
90	1740	17389
91	1757	17347
92	1776	17322
93	1795	17302
94	1814	17286
95	1833	17261
96	1857	17294
97	1878	17290
98	1898	17277
99	1918	17266
100	1940	17269
101	1961	17272
102	1981	17257
103	1999	17228
104	2017	17195
105	2035	17163
106	2052	17132
107	2070	17103
108	2099	17161
109	2121	17164
110	2137	17122
111	2155	17087
112	2173	17060
113	2191	17029
114	2210	17007
115	2227	16978
116	2245	16944
117	2262	16911
118	2279	16875
119	2296	16843
120	2314	16813
121	2332	16788
122	2350	16762
123	2367	16728
124	2384	16692
125	2402	16666
126	2421	16646
127	2443	16643
128	2463	16630
129	2481	16603
130	2499	16578
131	2517	16552
132	2536	16534
133	2554	16509
134	2571	16479
135	2589	16452
136	2606	16419
137	2624	16390
138	2641	16363
139	2659	16337
140	2677	16311
141	2694	16283
142	2713	16262
143	2735	16261
144	2754	16240
145	2771	16210
146	2787	16176
147	2806	16155
148	2825	16136
149	2847	16138
150	2868	16127
151	2886	16102
152	2905	16084
153	2925	16073
154	2949	16080
155	2970	16073
156	2991	16060
157	3012	16052
158	3031	16033
159	3048	16005
160	3067	15985
161	3095	16009
162	3116	16003
163	3135	15981
164	3153	15957
165	3172	15937
166	3190	15912
167	3207	15887
168	3226	15865
169	3244	15838
170	3262	15817
171	3280	15790
172	3296	15760
173	3316	15746
174	3336	15728
175	3357	15721
176	3377	15702
177	3399	15699
178	3424	15704
179	3445	15697
180	3465	15678
181	3481	15649
182	3498	15620
183	3517	15597
184	3534	15571
185	3551	15544
186	3570	15522
187	3588	15498
188	3608	15484
189	3626	15459
190	3644	15435
191	3663	15416
192	3681	15392
193	3699	15371
194	3721	15362
195	3743	15357
196	3762	15336
197	3780	15310
198	3797	15285
199	3814	15259
200	3832	15235
201	3856	15235
202	3875	15215
203	3894	15195
204	3914	15181
205	3933	15160
206	3954	15147
207	3972	15126
208	3993	15114
209	4013	15098
210	4030	15072
211	4053	15065
212	4074	15056
213	4094	15039
214	4113	15020
215	4132	14998
216	4150	14977
217	4168	14954
218	4186	14930
219	4204	14907
220	4221	14881
221	4239	14856
222	4257	14832
223	4274	14809
224	4292	14786
225	4310	14764
226	4328	14738
227	4346	14715
228	4363	14689
229	4382	14670
230	4400	14649
231	4421	14636
232	4443	14627
233	4461	14604
234	4478	14578
235	4496	14555
236	4515	14535
237	4532	14512
238	4549	14486
239	4568	14466
240	4585	14440
241	4602	14415
242	4620	14394
243	4637	14369
244	4655	14346
245	4674	14326
246	4690	14300
247	4710	14283
248	4732	14273
249	4754	14262
250	4771	14238
251	4789	14215
252	4807	14194
253	4824	14168
254	4843	14150
255	4868	14149
256	4887	14129
257	4906	14109
258	4925	14093
259	4943	14069
260	4961	14046
261	4980	14028
262	4999	14008
263	5016	13985
264	5041	13983
265	5066	13980
266	5088	13969
267	5107	13949
268	5126	13930
269	5143	13907
270	5161	13883
271	5178	13860
272	5195	13836
273	5213	13813
274	5230	13790
275	5250	13773
276	5267	13749
277	5286	13728
278	5304	13708
279	5323	13688
280	5340	13664
281	5357	13641
282	5377	13624
283	5397	13607
284	5419	13596
285	5441	13584
286	5460	13564
287	5479	13546
288	5498	13528
289	5533	13547
290	5552	13528
291	5569	13504
292	5587	13483
293	5604	13459
294	5622	13437
295	5640	13415
296	5658	13393
297	5675	13370
298	5693	13348
299	5711	13327
300	5733	13313
301	5753	13298
302	5771	13275
303	5788	13252
304	5807	13233
305	5825	13211
306	5845	13196
307	5869	13186
308	5888	13167
309	5908	13150
310	5928	13133
311	5946	13112
312	5962	13087
313	5981	13066
314	6000	13049
315	6020	13032
316	6047	13029
317	6068	13013
318	6085	12991
319	6102	12968
320	6121	12949
321	6139	12927
322	6156	12903
323	6176	12886
324	6193	12864
325	6212	12843
326	6229	12821
327	6246	12798
328	6263	12774
329	6282	12755
330	6298	12731
331	6318	12712
332	6335	12690
333	6353	12668
334	6372	12650
335	6391	12630
336	6410	12612
337	6430	12595
338	6448	12573
339	6465	12549
340	6482	12528
341	6500	12506
342	6519	12486
343	6536	12464
344	6553	12441
345	6570	12418
346	6587	12395
347	6604	12374
348	6623	12354
349	6639	12330
350	6659	12312
351	6679	12295
352	6696	12274
353	6718	12260
354	6738	12243
355	6755	12221
356	6773	12199
357	6791	12178
358	6808	12156
359	6829	12141
360	6849	12123
361	6873	12114
362	6891	12093
363	6914	12082
364	6934	12063
365	6951	12042
366	6969	12021
367	6989	12003
368	7018	12001
369	7038	11984
370	7057	11966
371	7075	11945
372	7093	11924
373	7111	11903
374	7131	11885
375	7149	11865
376	7168	11846
377	7188	11828
378	7208	11810
379	7228	11793
380	7246	11773
381	7264	11753
382	7281	11730
383	7300	11710
384	7318	11690
385	7337	11671
386	7355	11651
387	7375	11633
388	7394	11614
389	7416	11600
390	7435	11581
391	7453	11559
392	7471	11540
393	7490	11520
394	7508	11500
395	7529	11483
396	7548	11465
397	7568	11447
398	7588	11429
399	7608	11412
400	7629	11396
401	7649	11379
402	7667	11358
403	7683	11335
404	7702	11316
405	7725	11303
406	7744	11283
407	7762	11262
408	7780	11242
409	7797	11220
410	7815	11200
